Date,Open,High,Low,Close,Volume
01/05/2024 16:00:00,392.61,401.72,390.31,394.94,23562481
02/05/2024 16:00:00,397.66,399.93,394.65,397.84,17709364
03/05/2024 16:00:00,402.28,407.15,401.86,406.66,17446724
06/05/2024 16:00:00,408.76,413.93,406.37,413.54,16996639
07/05/2024 16:00:00,414.66,414.67,409.09,409.34,20018228
08/05/2024 16:00:00,408.17,412.23,406.71,410.54,11792308
09/05/2024 16:00:00,410.57,412.72,409.1,412.32,14689727
10/05/2024 16:00:00,412.94,415.38,411.8,414.74,13402281
13/05/2024 16:00:00,418.01,418.35,410.82,413.72,15440226
14/05/2024 16:00:00,412.02,417.49,411.55,416.56,15109306
15/05/2024 16:00:00,417.9,423.81,417.27,423.08,22239533
16/05/2024 16:00:00,421.8,425.42,420.35,420.99,17530050
17/05/2024 16:00:00,422.54,422.92,418.03,420.21,15352239
20/05/2024 16:00:00,420.21,426.77,419.99,425.34,16272137
21/05/2024 16:00:00,426.83,432.97,424.85,429.04,21453255
22/05/2024 16:00:00,430.09,432.41,427.13,430.52,18073698
23/05/2024 16:00:00,432.97,433.6,425.42,427,17211689
24/05/2024 16:00:00,427.19,431.06,424.41,430.16,11855285
28/05/2024 16:00:00,429.63,430.82,426.6,430.32,15718024
29/05/2024 16:00:00,425.69,430.94,425.69,429.17,15517130
30/05/2024 16:00:00,424.3,424.3,414.24,414.67,28424847
31/05/2024 16:00:00,416.75,416.75,404.51,415.13,47995250
03/06/2024 16:00:00,415.53,416.43,408.92,413.52,17484675
04/06/2024 16:00:00,412.43,416.44,409.68,416.07,14348917
05/06/2024 16:00:00,417.81,424.08,416.3,424.01,16988038
06/06/2024 16:00:00,424.01,425.31,420.58,424.52,14861251
07/06/2024 16:00:00,426.2,426.28,423,423.85,13621650
10/06/2024 16:00:00,424.7,428.08,423.89,427.87,14003034
11/06/2024 16:00:00,425.48,432.82,425.25,432.68,14551101
12/06/2024 16:00:00,435.32,443.4,433.25,441.06,22366233
13/06/2024 16:00:00,440.85,443.39,439.37,441.58,15960565
14/06/2024 16:00:00,438.28,443.14,436.72,442.57,13581985
17/06/2024 16:00:00,442.59,450.94,440.72,448.37,20790030
18/06/2024 16:00:00,449.71,450.14,444.89,446.34,17112504
20/06/2024 16:00:00,446.3,446.53,441.27,445.7,19877378
21/06/2024 16:00:00,447.38,450.58,446.51,449.78,34486172
24/06/2024 16:00:00,449.8,452.75,446.41,447.67,15913719
25/06/2024 16:00:00,448.25,451.42,446.75,450.95,16747529
26/06/2024 16:00:00,449,453.6,448.19,452.16,16507030
27/06/2024 16:00:00,452.18,456.17,451.77,452.85,14806324
28/06/2024 16:00:00,453.07,455.38,446.41,446.95,28362271
01/07/2024 16:00:00,448.66,457.37,445.66,456.73,17662818
02/07/2024 16:00:00,453.2,459.59,453.11,459.28,13979779
03/07/2024 13:05:00,458.19,461.02,457.88,460.77,9932830
05/07/2024 16:00:00,459.61,468.35,458.97,467.56,16000290
08/07/2024 16:00:00,466.55,467.7,464.46,466.24,12962321
09/07/2024 16:00:00,467,467.33,458,459.54,17228507
10/07/2024 16:00:00,461.22,466.46,458.86,466.25,18196100
11/07/2024 16:00:00,462.98,464.78,451.55,454.7,23111175
12/07/2024 16:00:00,454.33,456.36,450.65,453.55,16324274
15/07/2024 16:00:00,453.3,457.26,451.43,453.96,14429447
16/07/2024 16:00:00,454.22,454.3,446.66,449.52,17175679
17/07/2024 16:00:00,442.59,444.85,439.18,443.52,21754021
18/07/2024 16:00:00,444.34,444.65,434.4,440.37,20794822
19/07/2024 16:00:00,433.1,441.14,432,437.11,20940417
22/07/2024 16:00:00,441.79,444.6,438.91,442.94,15808755
23/07/2024 16:00:00,443.9,448.39,443.1,444.85,13107050
24/07/2024 16:00:00,440.45,441.48,427.59,428.9,26805800
25/07/2024 16:00:00,428.8,429.8,417.51,418.4,29943795
26/07/2024 16:00:00,418.2,428.92,417.27,425.27,23583839
29/07/2024 16:00:00,431.58,432.15,424.7,426.73,15125836
30/07/2024 16:00:00,427.72,429.05,417.36,422.92,32687578
31/07/2024 16:00:00,420.5,421.78,412.21,418.35,42891366
01/08/2024 16:00:00,420.79,427.46,413.09,417.11,30296400
02/08/2024 16:00:00,412.49,415,404.34,408.49,29437900
05/08/2024 16:00:00,389.17,401.04,385.58,395.15,40709238
06/08/2024 16:00:00,400,405.67,398.5,399.61,24946525
07/08/2024 16:00:00,408.64,410.08,397.47,398.43,20650906
08/08/2024 16:00:00,402.44,405.86,399.94,402.69,20203030
09/08/2024 16:00:00,404.03,408.05,402.26,406.02,19276666
12/08/2024 16:00:00,407.06,408.76,404.24,406.81,16762883
13/08/2024 16:00:00,409.59,414.95,409.57,414.01,19414271
14/08/2024 16:00:00,414.8,417.72,412.45,416.86,18266980
15/08/2024 16:00:00,419.8,421.11,417.66,421.03,20752144
16/08/2024 16:00:00,420.6,421.34,417.3,418.47,22775593
19/08/2024 16:00:00,418.96,421.75,416.46,421.53,15233957
20/08/2024 16:00:00,421.7,425.86,421.64,424.8,16387581
21/08/2024 16:00:00,424.08,426.4,421.72,424.14,16067298
22/08/2024 16:00:00,424.36,426.79,414.61,415.55,19361901
23/08/2024 16:00:00,416.98,419.26,412.09,416.79,18493784
26/08/2024 16:00:00,416.37,417.28,411.34,413.49,13152830
27/08/2024 16:00:00,412.86,414.36,410.25,413.84,13492911
28/08/2024 16:00:00,414.88,415,407.31,410.6,14882660
29/08/2024 16:00:00,414.94,422.05,410.6,413.12,17045241
30/08/2024 16:00:00,415.6,417.49,412.13,417.14,24308324
03/09/2024 16:00:00,417.91,419.88,407.03,409.44,20313603
04/09/2024 16:00:00,405.91,411.24,404.37,408.9,15135806
05/09/2024 16:00:00,407.62,413.1,406.13,408.39,14195516
06/09/2024 16:00:00,409.06,410.65,400.8,401.7,19609526
09/09/2024 16:00:00,407.24,408.65,402.15,405.72,15295134
10/09/2024 16:00:00,408.2,416.33,407.7,414.2,19594287
11/09/2024 16:00:00,415.5,423.99,409.58,423.04,19266923
12/09/2024 16:00:00,423.31,427.37,419.75,427,17418759
13/09/2024 16:00:00,425.83,431.83,425.46,430.59,15874555
16/09/2024 16:00:00,430.6,433.53,428.22,431.34,13834697
17/09/2024 16:00:00,440.23,441.85,432.27,435.15,18874231
18/09/2024 16:00:00,435,436.03,430.41,430.81,18898042
19/09/2024 16:00:00,441.23,441.5,436.9,438.69,21706559
20/09/2024 16:00:00,437.22,439.24,434.22,435.27,55167106
23/09/2024 16:00:00,434.28,436.46,430.39,433.51,15128891
24/09/2024 16:00:00,433,433.35,426.1,429.17,17015754
25/09/2024 16:00:00,429.83,433.12,428.57,432.11,13396364
26/09/2024 16:00:00,435.09,435.3,429.13,431.31,14492044
27/09/2024 16:00:00,431.52,431.85,427.47,428.02,14896131
30/09/2024 16:00:00,428.21,430.42,425.37,430.3,16854606
01/10/2024 16:00:00,428.45,428.48,418.81,420.69,19092945
02/10/2024 16:00:00,422.58,422.82,416.71,417.13,16582257
03/10/2024 16:00:00,417.63,419.55,414.29,416.54,13686421
04/10/2024 16:00:00,418.24,419.75,414.97,416.06,19190913
07/10/2024 16:00:00,416,417.11,409,409.54,20919761
08/10/2024 16:00:00,410.9,415.66,408.17,414.71,19229261
09/10/2024 16:00:00,415.86,420.38,414.3,417.46,14974257
10/10/2024 16:00:00,415.23,417.35,413.15,415.84,13848376
11/10/2024 16:00:00,416.14,417.13,413.25,416.32,14144944
14/10/2024 16:00:00,417.77,424.04,417.52,419.14,16653086
