feature,importance
macd_diff,0.09055591099386934
rsi,0.08856082127802502
obv,0.07967003362822524
volume,0.07864971110529298
bb_bbwidth,0.07633139142439713
macd,0.07529301943377602
bb_bbl,0.059850800356148086
close,0.059262347580773304
high,0.058635604516762134
bb_bbm,0.0584705748123762
macd_signal,0.05826201014400685
low,0.05749462776635448
bb_bbh,0.05400998734822956
open,0.053200793756267704
news_sentiment,0.051752365855496
