date,ticker,open,high,low,close,volume,macd,macd_signal,macd_diff,rsi,bb_bbm,bb_bbh,bb_bbl,bb_bbwidth,obv,news_sentiment
26/06/2024,AAPL,211.5,214.86,210.64,213.25,66213186,0.8462335498477387,1.5583390218514352,-0.7121054720036966,46.57434280267916,224.071,255.67085689841008,192.47114310158992,63.19971379682016,1604757101,0.2910643903331826
27/06/2024,AAPL,214.69,215.74,212.35,214.1,49772707,-0.7648004600688125,1.4891219609643436,-2.253922421033156,46.80484201492902,224.872,250.4777326393914,199.26626736060857,51.21146527878284,1689526212,0.21276611828543537
28/06/2024,AAPL,215.77,216.07,210.3,210.62,82542718,-4.58328268589139,-1.0487329047383742,-3.534549781153016,46.49081043371721,225.4805,260.1020455894157,190.8589544105841,69.24309117883158,1745455009,0.23503238492546524
01/07/2024,AAPL,212.09,217.51,211.92,216.75,60402929,,,,,,,,,103798197,0.0
02/07/2024,AAPL,216.15,220.38,215.1,220.27,58046178,,,,,,,,,213560917,0.18360407045984176
03/07/2024,AAPL,220.0,221.55,219.03,221.55,37369801,,,,51.60619722788401,216.831,254.6029869215269,179.05901307847307,75.54397384305383,70563655,0.47680487983702086
05/07/2024,AAPL,221.65,226.45,221.65,226.34,60412408,-1.105476826146628,-0.1810959582378537,-0.9243808679087742,52.55230979642516,218.64,252.09338428320825,185.1866157167918,66.90676856641642,248200503,0.060810948788871014
08/07/2024,AAPL,227.09,227.85,223.25,227.82,59085861,-2.9338501563798047,-2.929842303810163,-0.0040078525696416,53.57864885928162,212.28,256.0282461362739,168.53175386372607,87.49649227254781,702112615,0.2908830233172921
09/07/2024,AAPL,227.93,229.4,226.37,228.68,48169822,-1.4721159720537005,-2.290967321435674,0.8188513493819736,54.29849312196982,205.864,244.8715517816744,166.8564482183256,78.01510356334876,649243428,0.05409012368779388
10/07/2024,AAPL,229.3,233.08,229.25,232.98,62627687,-0.7139468045704973,-0.0097381911308294,-0.7042086134396678,55.089064018465976,214.289,250.9189090361961,177.65909096380386,73.25981807239225,627487267,0.5062218349219834
11/07/2024,AAPL,231.39,232.39,225.77,227.57,64710617,0.1822797189929588,0.935638437764115,-0.7533587187711562,52.92667941431943,218.6725,255.4561647847927,181.88883521520728,73.56732956958541,599796953,0.5590914157886194
12/07/2024,AAPL,228.92,232.64,228.68,230.54,53046527,0.5194352160981737,1.42715796105667,-0.9077227449584964,53.186007733196526,222.1695,250.4231712481757,193.91582875182417,56.50734249635161,625878893,0.33433605711470593
15/07/2024,AAPL,236.48,237.23,233.09,234.4,62631252,-0.7883620283542996,-0.9390673263780754,0.1507052980237758,53.97913923661139,218.8215,252.5603691422816,185.08263085771847,67.47773828456309,799786162,0.0
16/07/2024,AAPL,235.0,236.27,232.33,234.82,43234278,-0.9540347229045096,-0.963866676592597,0.0098319536880873,54.27970905190627,215.6805,248.2912463729366,183.0697536270634,65.2214927458732,827353347,0.0
